# ⇥ New columns ⇥
"# context := {SN,GN,Both, …}   (unchanged)"
# pos     := [S]urname‑only | [G]iven‑name‑only | (blank) Either
긋,geut,0.0,
긌,geut,0.0,
긍,geung,0.0,
긎,geut,0.0,
긏,geut,0.0,
긐,geuk,0.0,
긑,geut,0.0,
긒,geup,0.0,
긓,geut,0.0,
긔,gui,0.0,
긕,guik,0.0,
긖,guik,0.0,
긗,guiks,0.0,
긘,guin,0.0,
긙,guinj,0.0,
긚,guinh,0.0,
긛,guit,0.0,
긜,guil,0.0,
긝,guilk,0.0,
긞,guilm,0.0,
긟,guilb,0.0,
긠,guils,0.0,
긡,guilt,0.0,
긢,guilp,0.0,
긣,guilh,0.0,
긤,guim,0.0,
긥,guip,0.0,
긦,guips,0.0,
긧,guit,0.0,
긨,guit,0.0,
긩,guing,0.0,
긪,guit,0.0,
긫,guit,0.0,
긬,guik,0.0,
긭,guit,0.0,
긮,guip,0.0,
긯,guit,0.0,
기,gi,0.0,
긱,gik,0.0,
긲,gik,0.0,
긳,giks,0.0,
긴,gin,0.0,
긵,ginj,0.0,
긶,ginh,0.0,
긷,git,0.0,
길,gil,0.0,
긹,gilk,0.0,
긺,gilm,0.0,
긻,gilb,0.0,
긼,gils,0.0,
긽,gilt,0.0,
긾,gilp,0.0,
긿,gilh,0.0,
김,gim,0.0,
깁,gip,0.0,
깂,gips,0.0,
깃,git,0.0,
깄,git,0.0,
깅,ging,0.0,
깆,git,0.0,
깇,git,0.0,
깈,gik,0.0,
깉,git,0.0,
깊,gip,0.0,
깋,git,0.0,
까,kka,0.0,
깍,kkak,0.0,
깎,kkak,0.0,
깏,kkaks,0.0,
깐,kkan,0.0,
깑,kkanj,0.0,
깒,kkanh,0.0,
깓,kkat,0.0,
깔,kkal,0.0,
깕,kkalk,0.0,
깖,kkalm,0.0,
깗,kkalb,0.0,
깘,kkals,0.0,
깙,kkalt,0.0,
깚,kkalp,0.0,
깛,kkalh,0.0,
깜,kkam,0.0,
깝,kkap,0.0,
깞,kkaps,0.0,
깟,kkat,0.0,
깠,kkat,0.0,
깡,kkang,0.0,
깢,kkat,0.0,
깣,kkat,0.0,
깤,kkak,0.0,
깥,kkat,0.0,
깦,kkap,0.0,
깧,kkat,0.0,
깨,kkae,0.0,
깩,kkaek,0.0,
깪,kkaek,0.0,
깫,kkaeks,0.0,
깬,kkaen,0.0,
깭,kkaenj,0.0,
깮,kkaenh,0.0,
깯,kkaet,0.0,
깰,kkael,0.0,
깱,kkaelk,0.0,
깲,kkaelm,0.0,
깳,kkaelb,0.0,
깴,kkaels,0.0,
깵,kkaelt,0.0,
깶,kkaelp,0.0,
깷,kkaelh,0.0,
깸,kkaem,0.0,
깹,kkaep,0.0,
깺,kkaeps,0.0,
깻,kkaet,0.0,
깼,kkaet,0.0,
깽,kkaeng,0.0,
깾,kkaet,0.0,
깿,kkaet,0.0,
꺀,kkaek,0.0,
꺁,kkaet,0.0,
꺂,kkaep,0.0,
꺃,kkaet,0.0,
꺄,kkya,0.0,
꺅,kkyak,0.0,
꺆,kkyak,0.0,
꺇,kkyaks,0.0,
꺈,kkyan,0.0,
꺉,kkyanj,0.0,
꺊,kkyanh,0.0,
꺋,kkyat,0.0,
꺌,kkyal,0.0,
꺍,kkyalk,0.0,
꺎,kkyalm,0.0,
꺏,kkyalb,0.0,
꺐,kkyals,0.0,
